Filename,Counter,nanomaterial_composition,nanomaterial_morphology,nanomaterial_size,biological_species,toxic_lc50,nanomaterial_zeta_potential,biofilms_killing_perc,microbe_killing_log,microbe_killing_mic,nanomaterial_surface_area,microbe_killing_mbc
ATC48642,1,Ag,nanoparticle,,,,,,,,,
ATC48646,0,TiO2,nanoparticle,,,,,,,,,
ATC48647,2,Au,nanoparticle,,,,,,,,,
ATC48647,3,Au,nanoparticle,,,,,,,,,
ATC48651,0,Ag,nanoparticle,,Proteus mirabilis,,,,,,,
ATC48662,0,C,nanotube,,Listeria monocytogenes,,,,,,,
ATC48662,1,C,nanotube,,,,,,,,,
ATC48664,0,C,nanotube,,,,,,,,,
ATC48682,0,Au,nanoparticle,,Staphylococcus epidermidis,,,,,,,
ATC48682,1,Au,nanoparticle,,,,,,,,,
ATC48715,0,Ag,nanoparticle,,,,,,,,,
ATC48717,0,Ag,nanoparticle,,,,,,,,,
ATC48717,1,Ag,nanoparticle,,,,,,,,,
ATC48723,0,TiO2,nanoparticle,0.000000015,,,,,,,,
ATC48726,0,TiO2,nanoparticle,,,,,,,,,
ATC48728,0,Au,nanoparticle,,,,,,,,,
ATC48729,0,Au,nanoparticle,,,,,,,,,
ATC48729,1,Au,nanoparticle,,,,,,,,,
ATC48730,1,SiO2,nanoparticle,,,,,,,,,
ATC48734,0,Ag,nanoparticle,0.000000094,Escherichia coli,,0.00045,,,,,
ATC48734,1,Ag,nanoparticle,0.000000028,Escherichia coli,,0.00045,,,,,
ATC48734,2,Ag,nanoparticle,0.000000023,Escherichia coli,,0.00045,,,,,
ATC48734,3,Ag,nanoparticle,0.000000094,Klebsiella aerogenes,,0.00045,,,,,
ATC48734,4,Ag,nanoparticle,0.000000028,Klebsiella aerogenes,,0.00045,,,,,
ATC48734,5,Ag,nanoparticle,0.000000023,Klebsiella aerogenes,,0.00045,,,,,
ATC48734,6,Ag,nanoparticle,0.000000094,Pseudomonas aeruginosa,,0.00045,,,,,
ATC48734,7,Ag,nanoparticle,0.000000028,Pseudomonas aeruginosa,,0.00045,,,,,
ATC48734,8,Ag,nanoparticle,0.000000023,Pseudomonas aeruginosa,,0.00045,,,,,
ATC48735,0,ZnO,nanoparticle,0.00000001,,,,,,,,
ATC48735,1,ZnO,nanoparticle,0.00000001,,,,,,,,
ATC48735,2,ZnO,nanoparticle,0.00000001,,,,,,,,
ATC48743,0,Ag,nanoparticle,,,,,,,,,
ATC48744,2,TiO2,nanoparticle,,,,,,,,,
ATC48753,2,TiO2,nanoparticle,,,,,,,,,
ATC48754,0,NiFe2O4,nanoparticle,0.000000022,Candida albicans,,,,,1.8,,
ATC48754,1,NiFe2O4,nanoparticle,0.000000022,Pseudomonas aeruginosa,,,,,1.8,,
ATC48754,2,NiFe2O4,nanoparticle,0.000000022,Staphylococcus aureus,,,,,1.8,,
ATC48758,0,Ag,nanoparticle,0.00000004,Pseudomonas aeruginosa,,,,,,,
ATC48758,1,Ag,nanoparticle,0.00000004,Staphylococcus aureus,,,,,,,
ATC48760,0,Ag,nanoparticle,0.000000016,,,,,,,,
ATC48760,1,Ag,nanoparticle,0.000000016,Aspergillus fumigatus,,,,,,,
ATC48760,2,Ag,nanoparticle,0.000000016,Candida albicans,,,,,,,
ATC48760,3,Ag,nanoparticle,0.000000016,Klebsiella pneumoniae,,,,,,,
ATC48760,4,Ag,nanoparticle,0.000000016,Shigella flexneri,,,,,,,
ATC48760,5,Ag,nanoparticle,0.000000016,Staphylococcus aureus,,,,,,,
