Filename,Counter,nanomaterial_composition,nanomaterial_morphology,nanomaterial_size,biological_species,toxic_lc50,nanomaterial_zeta_potential,biofilms_killing_perc,microbe_killing_log,microbe_killing_mic,nanomaterial_surface_area,microbe_killing_mbc
ATC49805,0,Ti,nanoparticle,,,,,,,,,
ATC49805,1,Ti,nanoparticle,,,,,,,,,
ATC49805,2,Ti,nanoparticle,,,,,,,,,
ATC49805,3,TiO2,nanoparticle,,Gluconoacetobacter hansenii,,,,,,,
ATC49805,4,TiO2,nanoparticle,,Escherichia coli,,,,,,,
ATC49805,5,TiO2,nanoparticle,,,,,,,,,
ATC49808,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49813,0,ZnO,nanoparticle,,Eichhornia crassipes,,,,,,,
ATC49813,1,ZnO,nanoparticle,,,,,,,,,
ATC49813,2,ZnO,nanoparticle,,,,,,,,,
ATC49813,3,ZnO,nanoparticle,,,,,,,,,
