,article_doi,Publication Year
ATC003096,doi:10.1016/j.jmrt.2024.04.010,2024
ATC003097,doi:10.1016/j.colsurfb.2019.110579,2020
ATC003098,doi:10.1016/j.carbpol.2022.119967,2022
ATC003099,doi:10.1016/j.antiviral.2023.105688,2023
ATC003100,doi:10.1016/j.surfcoat.2021.127209,2021
ATC003101,doi:10.1016/j.apsusc.2013.08.001,2013
ATC003102,doi:10.1016/j.foodchem.2022.132429,2022
ATC003103,doi:10.1016/j.apsusc.2016.10.177,2017
ATC003104,doi:10.1016/j.snb.2020.129255,2021
ATC003105,doi:10.1016/j.ijbiomac.2021.09.024,2021
ATC003106,doi:10.1016/j.envpol.2013.11.028,2014
ATC003107,doi:10.1016/j.carbpol.2016.06.012,2016
ATC003108,doi:10.1016/j.jphotobiol.2018.11.005,2019
ATC003109,doi:10.1016/j.matchemphys.2024.129246,2024
ATC003110,doi:10.1016/j.jphotochem.2024.115647,2024
ATC003111,doi:10.1016/j.jcis.2019.07.049,2019
ATC003112,doi:10.1016/j.coco.2023.101728,2023
ATC003113,doi:10.1016/j.inoche.2022.109532,2022
ATC003114,doi:10.1016/j.chemosphere.2016.12.101,2017
ATC003115,doi:10.1016/j.biomaterials.2024.122532,2024
ATC003116,doi:10.1016/j.jallcom.2023.171953,2023
ATC003117,doi:10.1016/j.ijleo.2020.166139,2021
ATC003118,doi:10.1016/j.sajb.2023.06.026,2023
ATC003119,doi:10.1016/j.foodcont.2022.109165,2022
ATC003120,doi:10.1016/j.ijbiomac.2020.04.068,2020
ATC003121,doi:10.1016/j.msec.2020.111453,2021
ATC003122,doi:10.1016/j.ijbiomac.2023.126011,2023
ATC003123,doi:10.1016/j.arabjc.2021.103677,2022
ATC003124,doi:10.1016/j.scitotenv.2014.11.066,2015
ATC003125,doi:10.1016/j.surfin.2024.103857,2024
ATC003126,doi:10.1016/j.matdes.2022.111425,2022
ATC003127,doi:10.1016/j.ijbiomac.2023.128885,2024
ATC003128,doi:10.1016/j.cej.2021.130133,2021
ATC003129,doi:10.1016/j.envpol.2018.12.044,2019
ATC003130,doi:10.1016/j.matlet.2014.04.145,2014
ATC003131,doi:10.1016/j.apt.2021.10.038,2022
ATC003132,doi:10.1016/j.watres.2017.10.006,2017
ATC003133,doi:10.1016/j.mtcomm.2021.102789,2021
ATC003134,doi:10.1016/j.matchemphys.2011.12.085,2012
ATC003135,doi:10.1016/j.matlet.2022.131716,2022
ATC003136,doi:10.1016/j.jhazmat.2006.12.021,2007
ATC003137,doi:10.1016/j.msec.2016.11.047,2017
ATC003138,doi:10.1016/j.envpol.2022.120863,2023
ATC003139,doi:10.1016/j.colsurfa.2022.129109,2022
ATC003140,doi:10.1016/j.surfin.2019.01.008,2019
ATC003141,doi:10.1016/j.snb.2017.08.176,2018
ATC003142,doi:10.1016/j.fbio.2021.101398,2022
ATC003143,doi:10.1016/j.inoche.2022.109255,2022
ATC003144,doi:10.1016/j.clay.2021.106352,2022
ATC003145,doi:10.1016/j.plaphy.2024.108605,2024
ATC003146,doi:10.1016/j.ijbiomac.2021.03.178,2021
ATC003147,doi:10.1016/j.snb.2023.133371,2023
ATC003148,doi:10.1016/j.envres.2021.111499,2021
ATC003149,doi:10.1016/j.marpolbul.2014.07.059,2014
ATC003150,doi:10.1016/j.aquatox.2019.02.022,2019
ATC003151,doi:10.1016/j.matchemphys.2020.122646,2020
ATC003152,doi:10.1016/j.molstruc.2023.137190,2024
ATC003153,doi:10.1016/j.biombioe.2023.106783,2023
ATC003154,doi:10.1016/j.apcatb.2015.04.026,2015
ATC003155,doi:10.1016/j.marenvres.2020.105017,2020
ATC003156,doi:10.1016/j.carbpol.2010.07.042,2011
ATC003157,doi:10.1016/j.bej.2024.109315,2024
ATC003158,doi:10.1016/j.jwpe.2022.102785,2022
ATC003159,doi:10.1016/j.jhazmat.2020.122319,2020
ATC003160,doi:10.1016/j.heliyon.2019.e01878,2019
ATC003161,doi:10.1016/j.cbpc.2018.12.008,2019
ATC003162,doi:10.1016/j.reactfunctpolym.2021.105061,2021
ATC003163,doi:10.1016/j.aquatox.2018.03.009,2018
ATC003164,doi:10.1016/j.jphotobiol.2013.11.023,2014
ATC003165,doi:10.1016/j.saa.2011.04.018,2011
ATC003166,doi:10.1016/j.actbio.2021.08.012,2021
ATC003167,doi:10.1016/j.molliq.2017.11.093,2018
ATC003168,doi:10.1016/j.jcis.2022.12.094,2023
ATC003169,doi:10.1016/j.fm.2003.10.008,2004
ATC003170,doi:10.1016/j.colsurfb.2024.113826,2024
ATC003171,doi:10.1016/j.ijbiomac.2017.11.052,2018
ATC003172,doi:10.1016/j.chemosphere.2015.08.054,2016
ATC003173,doi:10.1016/j.talo.2023.100215,2023
ATC003174,doi:10.1016/j.jbiotec.2014.09.010,2015
ATC003175,doi:10.1016/j.foodchem.2022.134893,2023
ATC003176,doi:10.1016/j.surfcoat.2016.05.073,2016
ATC003177,doi:10.1016/j.porgcoat.2020.106098,2021
ATC003178,doi:10.1016/j.ijbiomac.2024.130095,2024
ATC003179,doi:10.1016/j.msec.2016.11.035,2017
ATC003180,doi:10.1016/j.colsurfb.2014.01.027,2014
ATC003181,doi:10.1016/j.lwt.2018.03.071,2018
ATC003182,doi:10.1016/j.talanta.2017.10.029,2018
ATC003183,doi:10.1016/j.saa.2017.12.052,2018
ATC003184,doi:10.1016/j.jmb.2009.04.065,2009
ATC003185,doi:10.1016/j.jim.2003.06.001,2003
ATC003186,doi:10.1016/j.gene.2007.02.003,2007
ATC003187,doi:10.1016/j.cej.2021.129815,2021
ATC003188,doi:10.1016/j.abb.2023.109772,2023
ATC003189,doi:10.1016/j.jmbbm.2017.04.004,2017
ATC003190,doi:10.1016/j.ceramint.2024.01.023,2024
ATC003191,doi:10.1016/j.ijbiomac.2020.03.028,2020
ATC003192,doi:10.1016/j.colsurfa.2022.129462,2022
ATC003193,doi:10.1016/j.jhazmat.2023.133201,2024
ATC003194,doi:10.1016/j.bioadv.2022.212939,2022
ATC003195,doi:10.1016/j.ceramint.2022.08.046,2022
ATC003196,doi:10.1016/j.colsurfa.2009.05.007,2009
ATC003197,doi:10.1016/j.scitotenv.2021.152608,2022
ATC003198,doi:10.1016/j.ecoenv.2023.114954,2023
ATC003199,doi:10.1016/j.molstruc.2022.134051,2023
ATC003200,doi:10.1016/j.jhazmat.2016.05.089,2016
ATC003201,doi:10.1016/j.etap.2018.04.015,2018
ATC003202,doi:10.1016/j.seppur.2018.11.016,2019
ATC003203,doi:10.1016/j.chemosphere.2021.131972,2022
ATC003204,doi:10.1016/j.nano.2012.04.007,2013
ATC003205,doi:10.1016/j.cej.2019.05.184,2019
ATC003206,doi:10.1016/j.scitotenv.2017.09.292,2018
ATC003207,doi:10.1016/j.impact.2017.07.003,2017
ATC003208,doi:10.1016/j.aquatox.2018.12.019,2019
ATC003209,doi:10.1016/j.jhazmat.2022.129503,2022
ATC003210,doi:10.1016/j.compositesb.2014.07.009,2014
ATC003211,doi:10.1016/j.jksus.2024.103142,2024
ATC003212,doi:10.1016/j.matdes.2014.09.060,2015
ATC003213,doi:10.1016/j.bioelechem.2018.04.018,2018
ATC003214,doi:10.1016/j.cej.2021.131768,2022
ATC003215,doi:10.1016/j.impact.2017.05.003,2017
ATC003216,doi:10.1016/j.radphyschem.2022.110683,2023
ATC003217,doi:10.1016/j.conbuildmat.2019.07.202,2019
ATC003218,doi:10.1016/j.mtcomm.2022.103906,2022
ATC003219,doi:10.1016/j.polymertesting.2023.108230,2023
ATC003220,doi:10.1016/j.micromeso.2020.110769,2021
ATC003221,doi:10.1016/j.jddst.2024.105390,2024
ATC003222,doi:10.1016/j.apsusc.2020.147855,2021
ATC003223,doi:10.1016/j.chemosphere.2018.06.149,2018
ATC003224,doi:10.1016/j.ijbiomac.2018.03.050,2018
ATC003225,doi:10.1016/j.jallcom.2018.02.334,2018
ATC003226,doi:10.1016/j.molstruc.2024.137901,2024
ATC003227,doi:10.1016/j.matchemphys.2022.126981,2023
ATC003228,doi:10.1016/j.ijbiomac.2023.127974,2024
ATC003229,doi:10.1016/j.procbio.2022.12.018,2023
ATC003230,doi:10.1016/j.fpsl.2022.100928,2022
ATC003231,doi:10.1016/j.ijbiomac.2018.02.140,2018
ATC003232,doi:10.1016/j.ijbiomac.2022.12.107,2023
ATC003233,doi:10.1016/j.ijbiomac.2021.08.161,2021
ATC003234,doi:10.1016/j.apsusc.2012.03.181,2012
ATC003235,doi:10.1016/j.surfcoat.2021.127319,2021
ATC003236,doi:10.1016/j.carbpol.2020.117141,2021
ATC003237,doi:10.1016/j.ultsonch.2014.04.021,2015
ATC003238,doi:10.1016/j.apcatb.2017.06.027,2017
ATC003239,doi:10.1016/j.bios.2017.08.014,2018
ATC003240,doi:10.1016/j.matlet.2023.134435,2023
ATC003241,doi:10.1016/j.polymer.2008.01.003,2008
ATC003242,doi:10.1016/j.ijbiomac.2022.01.080,2022
ATC003243,doi:10.1016/j.cej.2022.140586,2023
ATC003244,doi:10.1016/j.ijbiomac.2019.04.191,2019
ATC003245,doi:10.1016/j.envpol.2023.122235,2023
ATC003246,doi:10.1016/j.chemosphere.2020.127657,2021
ATC003247,doi:10.1016/j.scitotenv.2015.05.069,2015
ATC003248,doi:10.1016/j.ijbiomac.2022.08.151,2022
ATC003249,doi:10.1016/j.msec.2014.04.044,2014
ATC003250,doi:10.1016/j.inoche.2023.111764,2024
ATC003251,doi:10.1016/j.chemphys.2022.111617,2022
ATC003252,doi:10.1016/j.ijbiomac.2017.07.096,2017
ATC003253,doi:10.1016/j.colsurfb.2022.112892,2022
ATC003254,doi:10.1016/j.jbiotec.2020.10.023,2021
ATC003255,doi:10.1016/j.eurpolymj.2023.112418,2023
ATC003256,doi:10.1016/j.colsurfa.2023.132243,2023
ATC003257,doi:10.1016/j.jece.2022.108962,2022
ATC003258,doi:10.1016/j.aquatox.2021.105930,2021
ATC003259,doi:10.1016/j.ijbiomac.2023.125634,2023
ATC003260,doi:10.1016/j.micres.2022.127134,2022
ATC003261,doi:10.1016/j.arabjc.2015.03.005,2017
ATC003262,doi:10.1016/j.jwpe.2024.105258,2024
ATC003263,doi:10.1016/j.powtec.2017.03.052,2017
ATC003264,doi:10.1016/j.cej.2020.125913,2020
ATC003265,doi:10.1016/j.jece.2020.104882,2021
ATC003266,doi:10.1016/j.mtcomm.2022.104192,2022
ATC003267,doi:10.1016/j.envres.2022.114714,2023
ATC003268,doi:10.1016/j.apcatb.2017.10.052,2018
ATC003269,doi:10.1016/j.molstruc.2022.133110,2022
ATC003270,doi:10.1016/j.ultsonch.2019.104846,2020
ATC003271,doi:10.1016/j.msec.2021.112109,2021
ATC003272,doi:10.1016/j.cplett.2016.06.040,2016
ATC003273,doi:10.1016/j.elecom.2009.09.038,2009
ATC003274,doi:10.1016/j.procbio.2023.06.024,2023
ATC003275,doi:10.1016/j.watres.2012.11.041,2013
ATC003276,doi:10.1016/j.procbio.2021.02.014,2021
ATC003277,doi:10.1016/j.ijbiomac.2023.124813,2023
ATC003278,doi:10.1016/j.cej.2018.02.090,2018
ATC003279,doi:10.1016/j.envpol.2011.03.002,2011
ATC003280,doi:10.1016/j.jhazmat.2020.124601,2021
ATC003281,doi:10.1016/j.pep.2017.01.011,2017
ATC003282,doi:10.1016/j.ecoenv.2017.02.039,2017
ATC003283,doi:10.1016/j.nano.2020.102255,2020
ATC003284,doi:10.1016/j.cis.2011.05.008,2011
ATC003285,doi:10.1016/j.ejpb.2011.08.007,2012
ATC003286,doi:10.1016/j.jclepro.2023.138538,2023
ATC003287,doi:10.1016/j.eti.2021.101909,2021
ATC003288,doi:10.1016/j.wasman.2019.11.005,2020
ATC003289,doi:10.1016/j.ijpharm.2020.119643,2020
ATC003290,doi:10.1016/j.cbi.2015.06.031,2015
ATC003291,doi:10.1016/j.ijbiomac.2023.126691,2023
ATC003292,doi:10.1016/j.cofs.2020.12.021,2021
ATC003293,doi:10.1016/S0956-053X(03)00024-2,2003
ATC003294,doi:10.1016/j.saa.2010.03.016,2010
ATC003295,doi:10.1016/j.cej.2020.127680,2021
ATC003296,doi:10.1016/j.mimet.2011.09.008,2011
ATC003297,doi:10.1016/j.micpath.2024.106722,2024
ATC003298,doi:10.1016/j.jddst.2023.104741,2023
ATC003299,doi:10.1016/j.jphotochem.2019.112217,2020
ATC003300,doi:10.1016/j.mtchem.2021.100609,2022
ATC003301,doi:10.1016/j.colsurfa.2023.132161,2023
ATC003302,doi:10.1016/j.colsurfb.2016.05.077,2016
ATC003303,doi:10.1016/j.enzmictec.2018.05.003,2018
ATC003304,doi:10.1016/j.jece.2023.111868,2024
ATC003305,doi:10.1016/j.jhazmat.2016.07.013,2016
ATC003306,doi:10.1016/j.cej.2021.133967,2022
ATC003307,doi:10.1016/j.bbrc.2004.01.117,2004
ATC003308,doi:10.1016/j.electacta.2023.141814,2023
ATC003309,doi:10.1016/j.colsurfb.2020.110784,2020
ATC003310,doi:10.1016/j.cej.2015.04.055,2015
ATC003311,doi:10.1016/j.chemosphere.2022.137627,2023
ATC003312,doi:10.1016/j.jallcom.2017.09.173,2017
ATC003313,doi:10.1016/j.jviromet.2023.114771,2023
ATC003314,doi:10.1016/j.jenvman.2023.117804,2023
ATC003315,doi:10.1016/j.apmt.2021.101224,2021
ATC003316,doi:10.1016/j.aca.2013.04.004,2013
ATC003317,doi:10.1016/j.jconrel.2022.06.038,2022
ATC003318,doi:10.1016/j.chemosphere.2021.132999,2022
ATC003319,doi:10.1016/j.ijbiomac.2020.10.181,2020
ATC003320,doi:10.1016/j.ceramint.2021.10.020,2022
ATC003321,doi:10.1016/j.surfcoat.2020.126257,2020
ATC003322,doi:10.1016/j.envres.2023.117811,2024
ATC003323,doi:10.1016/j.apsusc.2012.07.023,2012
ATC003324,doi:10.1016/j.ceja.2021.100186,2021
ATC003325,doi:10.1016/j.snb.2017.11.189,2018
ATC003326,doi:10.1016/j.foodchem.2013.03.095,2013
ATC003327,doi:10.1016/j.molliq.2023.121705,2023
ATC003328,doi:10.1016/j.rechem.2024.101487,2024
ATC003329,doi:10.1016/j.materresbull.2017.12.038,2018
ATC003330,doi:10.1016/j.snb.2014.03.067,2014
ATC003331,doi:10.1016/j.oceram.2023.100488,2023
ATC003332,doi:10.1016/j.jsps.2023.04.015,2023
ATC003333,doi:10.1016/j.lwt.2021.111663,2021
ATC003334,doi:10.1016/j.colsurfb.2024.113882,2024
ATC003335,doi:10.1016/j.seppur.2022.121851,2022
ATC003336,doi:10.1016/j.jics.2023.100920,2023
ATC003337,doi:10.1016/j.jphotochem.2023.115150,2024
ATC003338,doi:10.1016/j.ijfoodmicro.2019.108375,2020
ATC003339,doi:10.1016/j.bios.2019.111817,2020
ATC003340,doi:10.1016/j.jclepro.2022.132835,2022
ATC003341,doi:10.1016/j.cej.2021.133913,2022
ATC003342,doi:10.1016/j.jenvrad.2018.03.005,2018
ATC003343,doi:10.1016/j.cej.2014.03.087,2014
ATC003344,doi:10.1016/j.cbpc.2010.12.004,2011
ATC003345,doi:10.1016/j.jenvman.2023.118005,2023
ATC003346,doi:10.1016/j.bbaexp.2004.10.012,2005
ATC003347,doi:10.1016/j.cej.2014.09.083,2015
ATC003348,doi:10.1016/j.jcis.2011.07.017,2011
ATC003349,doi:10.1016/j.jhazmat.2020.123946,2021
ATC003350,doi:10.1016/j.bioadv.2022.213046,2022
ATC003351,doi:10.1016/j.ijpharm.2023.123484,2023
ATC003352,doi:10.1016/j.carbpol.2021.118387,2021
ATC003353,doi:10.1016/j.jaerosci.2007.12.006,2008
ATC003354,doi:10.1006/jmbi.2000.3682,2000
ATC003355,doi:10.1016/j.aquatox.2009.09.016,2010
ATC003356,doi:10.1016/j.etap.2019.01.007,2019
ATC003357,doi:10.1016/j.surfin.2022.101968,2022
ATC003358,doi:10.1016/j.bioelechem.2020.107632,2020
ATC003359,doi:10.1016/j.carbpol.2019.04.087,2019
ATC003360,doi:10.1016/j.msec.2018.02.014,2018
ATC003361,doi:10.1016/j.inoche.2021.108470,2021
ATC003362,doi:10.1016/j.apsusc.2022.153469,2022
ATC003363,doi:10.1016/j.procbio.2020.12.010,2021
ATC003364,doi:10.1016/j.eti.2021.101721,2021
ATC003365,doi:10.1016/j.chemosphere.2014.05.029,2014
ATC003366,doi:10.1016/j.molliq.2023.123469,2023
ATC003367,doi:10.1016/j.ijbiomac.2012.03.018,2012
ATC003368,doi:10.1016/j.chemphyslip.2022.105241,2022
ATC003369,doi:10.1016/j.indcrop.2022.115651,2022
ATC003370,doi:10.1016/j.jphotobiol.2016.03.015,2016
ATC003371,doi:10.1016/j.ica.2019.119177,2019
ATC003372,doi:10.1016/j.ejpb.2014.03.003,2014
ATC003373,doi:10.1016/j.apcatb.2016.04.042,2016
ATC003374,doi:10.1016/j.ijbiomac.2023.128778,2024
ATC003375,doi:10.1016/j.snb.2015.12.030,2016
ATC003376,doi:10.1016/j.ejps.2017.05.060,2017
ATC003377,doi:10.1016/j.matchemphys.2018.04.118,2018
ATC003378,doi:10.1016/j.chemosphere.2019.02.093,2019
ATC003379,doi:10.1016/j.watres.2021.117825,2021
ATC003380,doi:10.1016/j.rhisph.2023.100836,2024
ATC003381,doi:10.1016/j.apsusc.2023.156574,2023
ATC003382,doi:10.1016/j.mtcomm.2019.100581,2019
ATC003383,doi:10.1016/j.jorganchem.2024.123076,2024
ATC003384,doi:10.1016/j.chemgeo.2011.07.013,2012
ATC003385,doi:10.1016/j.cej.2023.144139,2023
ATC003386,doi:10.1016/j.foodchem.2024.139779,2024
ATC003387,doi:10.1016/j.jddst.2018.11.022,2019
ATC003388,doi:10.1016/j.carres.2009.09.001,2009
ATC003389,doi:10.1016/j.apsusc.2023.157561,2023
ATC003390,doi:10.1016/j.fpsl.2023.101074,2023
ATC003391,doi:10.1016/j.eti.2021.102077,2021
ATC003392,doi:10.1016/j.msec.2018.05.039,2018
ATC003393,doi:10.1016/j.ceramint.2019.07.219,2019
ATC003394,doi:10.1016/j.msec.2016.04.060,2016
ATC003395,doi:10.1016/j.matchemphys.2022.126292,2022
ATC003396,doi:10.1016/j.foodcont.2020.107768,2021
ATC003397,doi:10.1016/j.jbiotec.2023.07.001,2023
ATC003398,doi:10.1016/j.jallcom.2010.06.164,2010
ATC003399,doi:10.1016/j.foodchem.2024.139911,2024
ATC003400,doi:10.1016/j.scitotenv.2017.08.115,2018
ATC003401,doi:10.1016/j.sajb.2021.03.002,2021
ATC003402,doi:10.1016/j.snb.2017.03.124,2017
ATC003403,doi:10.1016/j.actbio.2011.09.031,2012
ATC003404,doi:10.1016/j.biomaterials.2009.07.003,2009
ATC003405,doi:10.1016/j.ijbiomac.2024.131974,2024
ATC003406,doi:10.1016/j.jcis.2017.09.006,2018
ATC003407,doi:10.1016/j.molstruc.2023.135232,2023
ATC003408,doi:10.1016/j.inoche.2023.111701,2023
ATC003409,doi:10.1016/j.envres.2023.116657,2023
ATC003410,doi:10.1016/j.carbpol.2022.119736,2022
ATC003411,doi:10.1016/j.carbpol.2022.119956,2022
ATC003412,doi:10.1016/j.jmbbm.2023.106210,2024
ATC003413,doi:10.1016/j.jhazmat.2020.123412,2021
ATC003414,doi:10.1016/j.eti.2023.103059,2023
ATC003415,doi:10.1016/j.porgcoat.2023.107407,2023
ATC003416,doi:10.1016/j.ijbiomac.2022.10.244,2023
ATC003417,doi:10.1016/j.enzmictec.2012.12.006,2013
ATC003418,doi:10.1016/j.jddst.2019.101181,2019
ATC003419,doi:10.1016/j.colsurfb.2019.110350,2019
ATC003420,doi:10.1016/j.ijbiomac.2022.09.128,2022
ATC003421,doi:10.1016/j.cej.2023.142166,2023
ATC003422,doi:10.1016/j.scitotenv.2014.05.056,2014
ATC003423,doi:10.1016/j.lwt.2021.111422,2021
ATC003424,doi:10.1016/j.inoche.2024.112436,2024
ATC003425,doi:10.1016/j.apsusc.2022.153521,2022
ATC003426,doi:10.1016/j.rsci.2021.04.007,2021
ATC003427,doi:10.1016/j.cej.2019.122973,2020
ATC003428,doi:10.1016/j.mimet.2019.02.009,2019
ATC003429,doi:10.1016/j.bios.2020.112527,2020
ATC003430,doi:10.1016/j.scitotenv.2019.135858,2020
ATC003431,doi:10.1016/j.eurpolymj.2023.111862,2023
ATC003432,doi:10.1016/j.marenvres.2009.05.002,2009
ATC003433,doi:10.1016/j.mtchem.2022.101044,2022
ATC003434,doi:10.1016/j.jclepro.2020.122068,2020
ATC003435,doi:10.1016/j.ica.2016.08.025,2017
ATC003436,doi:10.1016/j.carbpol.2020.116112,2020
ATC003437,doi:10.1016/j.ijfoodmicro.2017.05.005,2017
ATC003438,doi:10.1016/j.ecoenv.2021.112051,2021
ATC003439,doi:10.1016/j.polymertesting.2024.108466,2024
ATC003440,doi:10.1016/j.carbpol.2022.120468,2023
ATC003441,doi:10.1016/j.plantsci.2021.110927,2021
ATC003442,doi:10.1016/j.compositesb.2022.110147,2022
ATC003443,doi:10.1016/j.foodcont.2022.109081,2022
ATC003444,doi:10.1016/j.ica.2020.119877,2020
ATC003445,doi:10.1016/j.ijbiomac.2017.12.066,2018
ATC003446,doi:10.1016/j.ijbiomac.2019.09.096,2020
ATC003447,doi:10.1016/j.pep.2003.10.015,2004
ATC003448,doi:10.1016/j.jenvman.2024.120827,2024
ATC003449,doi:10.1016/j.pdpdt.2021.102471,2021
ATC003450,doi:10.1016/j.tvjl.2011.06.039,2012
ATC003451,doi:10.1016/j.saa.2014.03.027,2014
ATC003452,doi:10.1016/j.matchemphys.2023.127306,2023
ATC003453,doi:10.1016/j.cej.2017.12.030,2018
ATC003454,doi:10.1016/S2666-5247(22)00387-1,2023
ATC003455,doi:10.1016/j.scp.2023.101338,2023
ATC003456,doi:10.1016/j.polymer.2022.124646,2022
ATC003457,doi:10.1016/j.heliyon.2019.e02207,2019
ATC003458,doi:10.1016/j.colsurfb.2018.12.004,2019
ATC003459,doi:10.1016/j.plaphy.2007.02.002,2007
ATC003460,doi:10.1016/j.watres.2022.119030,2022
ATC003461,doi:10.1016/j.eti.2022.102749,2022
ATC003462,doi:10.1016/j.micpath.2018.09.041,2018
ATC003463,doi:10.1016/j.jplph.2007.04.006,2008
ATC003464,doi:10.1016/j.cbpc.2017.03.004,2017
ATC003465,doi:10.1016/j.jhazmat.2015.04.053,2015
ATC003466,doi:10.1016/j.ijbiomac.2017.07.075,2017
ATC003467,doi:10.1016/j.carbpol.2017.04.042,2017
ATC003468,doi:10.1016/j.matchemphys.2020.124087,2021
ATC003469,doi:10.1016/j.seppur.2022.121911,2022
ATC003470,doi:10.1016/j.cej.2022.139052,2023
ATC003471,doi:10.1016/j.lwt.2022.113186,2022
ATC003472,doi:10.1016/j.envres.2017.01.010,2017
ATC003473,doi:10.1016/j.msec.2020.111068,2020
ATC003474,doi:10.1016/j.jclepro.2022.131813,2022
ATC003475,doi:10.1016/j.csbj.2018.11.010,2019
ATC003476,doi:10.1016/j.jhazmat.2012.05.066,2012
ATC003477,doi:10.1016/j.ijbiomac.2021.05.076,2021
ATC003478,doi:10.1016/j.colsurfb.2020.110996,2020
ATC003479,doi:10.1016/j.porgcoat.2024.108230,2024
ATC003480,doi:10.1016/j.matlet.2017.01.092,2017
ATC003481,doi:10.1016/j.snb.2021.129626,2021
ATC003482,doi:10.1016/j.msec.2019.110098,2019
ATC003483,doi:10.1016/j.colsurfa.2022.128270,2022
ATC003484,doi:10.1016/j.jallcom.2021.162637,2022
ATC003485,doi:10.1016/j.surfcoat.2018.12.119,2019
ATC003486,doi:10.1016/j.mtchem.2023.101468,2023
ATC003487,doi:10.1016/j.jphotobiol.2016.06.055,2016
ATC003488,doi:10.1016/j.ijbiomac.2022.11.046,2022
ATC003489,doi:10.1016/j.matlet.2016.10.026,2017
ATC003490,doi:10.1016/j.colcom.2022.100673,2022
ATC003491,doi:10.1016/j.ijbiomac.2023.129039,2024
ATC003492,doi:10.1016/j.saa.2022.121731,2022
ATC003493,doi:10.1016/j.bbrc.2004.08.163,2004
ATC003494,doi:10.1016/j.aquaculture.2019.05.022,2019
ATC003495,doi:10.1016/j.ijbiomac.2022.02.020,2022
ATC003496,doi:10.1016/j.apsusc.2013.12.083,2014
ATC003497,doi:10.1016/j.msec.2019.110082,2019
ATC003498,doi:10.1016/j.ijbiomac.2020.05.041,2020
ATC003499,doi:10.1016/j.surfcoat.2017.07.048,2017
ATC003500,doi:10.1016/j.colsurfb.2012.06.001,2013
ATC003501,doi:10.1016/j.jwpe.2020.101749,2021
ATC003502,doi:10.1016/j.bej.2006.08.009,2006
ATC003503,doi:10.1016/j.saa.2019.117485,2020
ATC003504,doi:10.1016/j.porgcoat.2023.107889,2023
ATC003505,doi:10.1016/j.colsurfa.2022.129654,2022
ATC003506,doi:10.1016/j.ijbiomac.2018.03.128,2018
ATC003507,doi:10.1016/j.jcis.2023.11.163,2024
ATC003508,doi:10.1016/j.apsusc.2017.03.176,2017
ATC003509,doi:10.1016/j.jinorgbio.2016.07.019,2016
ATC003510,doi:10.1016/j.apcatb.2020.119095,2020
ATC003511,doi:10.1016/j.aquaculture.2015.12.029,2016
ATC003512,doi:10.1016/j.apsusc.2016.09.141,2017
ATC003513,doi:10.1016/j.ultsonch.2015.06.016,2015
ATC003514,doi:10.1016/j.jphotobiol.2016.06.043,2016
ATC003515,doi:10.1016/j.surfin.2022.102548,2023
ATC003516,doi:10.1016/j.ijbiomac.2023.123515,2023
ATC003517,doi:10.1016/j.plantsci.2024.111988,2024
ATC003518,doi:10.1016/j.inoche.2024.112111,2024
ATC003519,doi:10.1016/j.jchromb.2013.01.002,2013
ATC003520,doi:10.1016/j.colsurfb.2008.11.004,2009
ATC003521,doi:10.1016/j.msec.2018.06.009,2018
ATC003522,doi:10.1016/j.colsurfb.2013.08.027,2014
ATC003523,doi:10.1016/j.rechem.2023.101082,2023
ATC003524,doi:10.1016/j.ijbiomac.2023.124540,2023
ATC003525,doi:10.1016/j.matchemphys.2021.125676,2022
ATC003526,doi:10.1016/j.diamond.2024.111218,2024
ATC003527,doi:10.1016/j.colsurfb.2011.02.029,2011
ATC003528,doi:10.1016/j.jddst.2024.105459,2024
ATC003529,doi:10.1016/j.aquatox.2009.12.022,2010
ATC003530,doi:10.1016/j.jpba.2020.113315,2020
ATC003531,doi:10.1016/j.matlet.2021.130671,2021
ATC003532,doi:10.1016/j.toxlet.2014.01.041,2014
ATC003533,doi:10.1016/j.cej.2013.04.098,2013
ATC003534,doi:10.1016/j.colsurfb.2022.112796,2022
ATC003535,doi:10.1016/j.colsurfa.2009.10.023,2010
ATC003536,doi:10.1016/j.scitotenv.2022.161087,2023
ATC003537,doi:10.1016/j.porgcoat.2021.106486,2021
ATC003538,doi:10.1016/j.colsurfb.2021.112183,2022
ATC003539,doi:10.1016/j.micromeso.2018.06.049,2019
ATC003540,doi:10.1016/j.inoche.2020.108435,2021
ATC003541,doi:10.1016/j.jphotobiol.2018.12.023,2019
ATC003542,doi:10.1016/j.lwt.2024.115812,2024
ATC003543,doi:10.1016/j.msec.2021.111888,2021
ATC003544,doi:10.1016/j.cej.2019.123003,2020
ATC003545,doi:10.1016/j.scitotenv.2022.159076,2023
ATC003546,doi:10.1016/j.ijpharm.2011.06.032,2011
ATC003547,doi:10.1016/j.jphotochem.2023.115318,2024
ATC003548,doi:10.1016/j.jhazmat.2024.134680,2024
ATC003549,doi:10.1016/j.aqrep.2023.101596,2023
ATC003550,doi:10.1016/j.envpol.2015.01.012,2015
ATC003551,doi:10.1016/j.biomaterials.2009.09.081,2010
ATC003552,doi:10.1016/j.plaphy.2023.108222,2024
ATC003553,doi:10.1016/j.cej.2022.137369,2022
ATC003554,doi:10.1016/j.carbpol.2013.02.075,2013
ATC003555,doi:10.1016/j.jelechem.2018.03.052,2018
