,article_doi,Publication Year
ATC000105,doi:10.1016/j.polymer.2016.01.042,2016
ATC000106,doi:10.1016/j.colsurfa.2024.133565,2024
ATC000107,doi:10.1016/j.cbpc.2021.109251,2022
ATC000108,doi:10.1016/j.jconrel.2020.09.042,2020
ATC000109,doi:10.1016/j.ijbiomac.2024.131005,2024
ATC000110,doi:10.1016/j.ijbiomac.2023.127086,2023
ATC000111,doi:10.1016/j.plaphy.2018.08.019,2018
ATC000112,doi:10.1016/j.aquatox.2022.106127,2022
ATC000113,doi:10.1016/j.chemosphere.2020.127709,2020
ATC000114,doi:10.1016/j.ijbiomac.2018.03.007,2018
ATC000115,doi:10.1016/j.msec.2017.06.010,2017
ATC000116,doi:10.1016/j.polymertesting.2020.106675,2020
ATC000117,doi:10.1016/j.ijbiomac.2024.131783,2024
ATC000118,doi:10.1016/j.ijbiomac.2020.09.015,2020
ATC000119,doi:10.1016/j.bios.2013.10.017,2014
ATC000120,doi:10.1016/j.carbpol.2020.116868,2020
ATC000121,doi:10.1016/j.msec.2008.11.017,2009
ATC000122,doi:10.1016/j.cattod.2017.05.032,2018
ATC000123,doi:10.1016/j.indcrop.2022.115567,2022
ATC000124,doi:10.1016/j.colsurfb.2014.07.016,2014
ATC000125,doi:10.1016/j.ijbiomac.2021.07.055,2021
ATC000126,doi:10.1016/j.snb.2019.126907,2019
ATC000127,doi:10.1016/j.cej.2022.139150,2023
ATC000128,doi:10.1016/j.cej.2021.133783,2022
ATC000129,doi:10.1016/j.jddst.2024.105746,2024
ATC000130,doi:10.1016/j.inoche.2022.110356,2023
ATC000131,doi:10.1016/j.radphyschem.2022.110045,2022
ATC000132,doi:10.1016/j.apsusc.2015.02.183,2015
ATC000133,doi:10.1016/j.jksus.2019.12.011,2020
ATC000134,doi:10.1016/j.jmbbm.2018.06.046,2018
ATC000135,doi:10.1016/j.colsurfa.2018.02.033,2018
ATC000136,doi:10.1016/j.cej.2023.141279,2023
ATC000137,doi:10.1016/j.envres.2021.111627,2021
ATC000138,doi:10.1016/j.pep.2006.01.008,2006
ATC000139,doi:10.1016/j.ecoenv.2023.115924,2024
ATC000140,doi:10.1016/j.apsusc.2014.02.003,2014
ATC000141,doi:10.1016/j.mtcomm.2020.101577,2020
ATC000142,doi:10.1016/j.jcis.2014.04.030,2014
ATC000143,doi:10.1016/j.colsurfa.2022.130072,2022
ATC000144,doi:10.1016/j.fbio.2021.101037,2021
ATC000145,doi:10.1016/j.apsusc.2023.156527,2023
ATC000146,doi:10.1016/j.envpol.2017.10.117,2018
ATC000147,doi:10.1016/j.jddst.2021.102553,2021
ATC000148,doi:10.1016/j.carbpol.2016.12.071,2017
ATC000149,doi:10.1016/j.ceramint.2012.12.019,2013
ATC000150,doi:10.1016/j.micpath.2020.104188,2020
ATC000151,doi:10.1016/j.arabjc.2020.10.008,2020
ATC000152,doi:10.1016/j.ab.2010.10.024,2011
ATC000153,doi:10.1016/j.bcab.2019.101296,2019
ATC000154,doi:10.1016/j.chemosphere.2017.05.061,2017
ATC000155,doi:10.1016/j.jhazmat.2022.128222,2022
ATC000156,doi:10.1016/j.jphotobiol.2020.112028,2020
ATC000157,doi:10.1016/j.ijbiomac.2023.124661,2023
ATC000158,doi:10.1016/j.foodcont.2021.108063,2021
ATC000159,doi:10.1016/j.ijbiomac.2022.10.219,2023
ATC000160,doi:10.1016/j.carbpol.2015.11.004,2016
ATC000161,doi:10.1016/S0378-1119(97)00637-9,1998
ATC000162,doi:10.1016/j.msec.2017.02.093,2017
ATC000163,doi:10.1016/j.porgcoat.2022.107354,2023
ATC000164,doi:10.1016/j.jhazmat.2020.122126,2020
ATC000165,doi:10.1016/j.fpsl.2019.100424,2019
ATC000166,doi:10.1016/j.rechem.2022.100671,2022
ATC000167,doi:10.1016/j.msec.2020.110855,2020
ATC000168,doi:10.1016/j.jece.2022.108284,2022
ATC000169,doi:10.1016/j.foodres.2012.06.026,2012
ATC000170,doi:10.1016/j.heliyon.2019.e01776,2019
ATC000171,doi:10.1016/j.jcis.2014.11.074,2015
ATC000172,doi:10.1016/j.memsci.2019.117488,2020
